,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
904,Kings XI Punjab,Rajasthan Royals,166.0,168.0,Kings XI Punjab,Bat,Royals,6 wickets,Shane Watson,Sawai Mansingh Stadium,Jaipur
905,Deccan Chargers,Delhi Daredevils,142.0,143.0,Deccan Chargers,Bat,Daredevils,9 wickets,Virender Sehwag,Rajiv Gandhi International Stadium,Uppal
906,Chennai Super Kings,Mumbai Indians,208.0,202.0,Mumbai Indians,Field,Super,6 runs,Matthew Hayden,MA Chidambaram Stadium,Chepauk
907,Deccan Chargers,Rajasthan Royals,214.0,217.0,Rajasthan Royals,Field,Royals,3 wickets,Yusuf Pathan,Rajiv Gandhi International Stadium,Uppal
908,Kings XI Punjab,Mumbai Indians,182.0,116.0,Mumbai Indians,Field,Kings,66 runs,Kumar Sangakkara,Punjab Cricket Association Stadium,Mohali
909,Kolkata Knight Riders,Chennai Super Kings,147.0,152.0,Kolkata Knight Riders,Bat,Super,9 wickets,Jacob Oram,MA Chidambaram Stadium,Chepauk
910,Royal Challengers Bangalore,Rajasthan Royals,135.0,138.0,Rajasthan Royals,Field,Royals,7 wickets,Shane Watson,M Chinnaswamy Stadium,Bangalore
911,Delhi Daredevils,Kings XI Punjab,158.0,162.0,Delhi Daredevils,Bat,Kings,4 wickets,Simon Katich,Punjab Cricket Association Stadium,Mohali
912,Mumbai Indians,Deccan Chargers,154.0,155.0,Deccan Chargers,Field,Chargers,10 wickets,Adam Gilchrist,Dr DY Patil Sports Academy,Mumbai
913,Chennai Super Kings,Royal Challengers Bangalore,178.0,165.0,Chennai Super Kings,Bat,Super,13 runs,MS Dhoni,M Chinnaswamy Stadium,Bangalore
914,Kolkata Knight Riders,Mumbai Indians,137.0,138.0,Kolkata Knight Riders,Bat,Mumbai,7 wickets,Sanath Jayasuriya,Eden Gardens,Kolkata
915,Delhi Daredevils,Royal Challengers Bangalore,191.0,181.0,Royal Challengers Bangalore,Field,Daredevils,10 runs,Glenn McGrath,Feroz Shah Kotla,Delhi
916,Rajasthan Royals,Kolkata Knight Riders,196.0,151.0,Rajasthan Royals,Bat,Royals,45 runs,Swapnil Asnodkar,Sawai Mansingh Stadium,Jaipur
917,Deccan Chargers,Kings XI Punjab,164.0,167.0,Kings XI Punjab,Field,Kings,7 wickets,Shaun Marsh,Rajiv Gandhi International Stadium,Uppal
918,Chennai Super Kings,Delhi Daredevils,169.0,172.0,Chennai Super Kings,Bat,Daredevils,8 wickets,Virender Sehwag,MA Chidambaram Stadium,Chepauk
919,Royal Challengers Bangalore,Deccan Chargers,156.0,153.0,Deccan Chargers,Field,RCB,3 runs,Praveen Kumar,M Chinnaswamy Stadium,Bangalore
920,Kings XI Punjab,Kolkata Knight Riders,178.0,169.0,Kings XI Punjab,Bat,Kings,9 runs,Irfan Pathan,Punjab Cricket Association Stadium,Mohali
921,Mumbai Indians,Delhi Daredevils,162.0,133.0,Delhi Daredevils,Field,Mumbai,29 runs,Shaun Pollock,Dr DY Patil Sports Academy,Mumbai
922,Chennai Super Kings,Rajasthan Royals,109.0,110.0,Chennai Super Kings,Bat,Royals,8 wickets,Sohail Tanvir,Sawai Mansingh Stadium,Jaipur
923,Royal Challengers Bangalore,Kings XI Punjab,126.0,127.0,Kings XI Punjab,Field,Kings,6 wickets,Sreesanth,M Chinnaswamy Stadium,Bangalore
924,Chennai Super Kings,Deccan Chargers,144.0,148.0,Deccan Chargers,Field,Chargers,7 wickets,Adam Gilchrist,MA Chidambaram Stadium,Chepauk
925,Rajasthan Royals,Mumbai Indians,103.0,104.0,Mumbai Indians,Field,Mumbai,7 wickets,Ashish Nehra,Dr DY Patil Sports Academy,Mumbai
926,Delhi Daredevils,Chennai Super Kings,187.0,188.0,Chennai Super Kings,Field,Super,4 wickets,MS Dhoni,Feroz Shah Kotla,Delhi
927,Kolkata Knight Riders,Royal Challengers Bangalore,,124.0,Kolkata Knight Riders,Bat,KKR,5 runs,Sourav Ganguly,Eden Gardens,Kolkata
928,Deccan Chargers,Rajasthan Royals,140.0,141.0,Rajasthan Royals,Field,Royals,8 wickets,Yusuf Pathan,Sawai Mansingh Stadium,Jaipur
929,Chennai Super Kings,Kings XI Punjab,181.0,163.0,Kings XI Punjab,Field,Super,18 runs,Lakshmipathy Balaji,MA Chidambaram Stadium,Chepauk
930,Kolkata Knight Riders,Deccan Chargers,204.0,181.0,Kolkata Knight Riders,Bat,KKR,23 runs,Sourav Ganguly,Rajiv Gandhi International Stadium,Uppal
931,Delhi Daredevils,Rajasthan Royals,156.0,159.0,Rajasthan Royals,Field,Royals,3 wickets,Shane Watson,Sawai Mansingh Stadium,Jaipur
932,Royal Challengers Bangalore,Kings XI Punjab,143.0,144.0,Royal Challengers Bangalore,Bat,Kings,9 wickets,Shaun Marsh,Punjab Cricket Association Stadium,Mohali
933,Kolkata Knight Riders,Delhi Daredevils,133.0,110.0,Kolkata Knight Riders,Bat,KKR,23 runs,Shoaib Akhtar,Eden Gardens,Kolkata
934,Chennai Super Kings,Mumbai Indians,156.0,158.0,Mumbai Indians,Field,Mumbai,9 wickets,Sanath Jayasuriya,Wankhede Stadium,Mumbai
935,Delhi Daredevils,Deccan Chargers,194.0,182.0,Deccan Chargers,Field,Daredevils,12 runs,Amit Mishra,Feroz Shah Kotla,Delhi
936,Kolkata Knight Riders,Mumbai Indians,67.0,68.0,Mumbai Indians,Field,Mumbai,8 wickets,Shaun Pollock,Wankhede Stadium,Mumbai
937,Rajasthan Royals,Royal Challengers Bangalore,197.0,132.0,Royal Challengers Bangalore,Field,Royals,65 runs,Graeme Smith,Sawai Mansingh Stadium,Jaipur
938,Delhi Daredevils,Kings XI Punjab,,94.0,Delhi Daredevils,Bat,Kings,6 runs,Mahela Jayawardene,Feroz Shah Kotla,Delhi
939,Kolkata Knight Riders,Chennai Super Kings,149.0,55.0,Kolkata Knight Riders,Bat,Super,3 runs,Makhaya Ntini,Eden Gardens,Kolkata
940,Mumbai Indians,Deccan Chargers,178.0,153.0,Deccan Chargers,Field,Mumbai,25 runs,Dwayne Bravo,Rajiv Gandhi International Stadium,Uppal
941,Royal Challengers Bangalore,Delhi Daredevils,154.0,158.0,Delhi Daredevils,Field,Daredevils,5 wickets,Shreevats Goswami,M Chinnaswamy Stadium,Bangalore
942,Kolkata Knight Riders,Rajasthan Royals,147.0,150.0,Rajasthan Royals,Field,Royals,6 wickets,Yusuf Pathan,Eden Gardens,Kolkata
943,Kings XI Punjab,Mumbai Indians,189.0,188.0,Mumbai Indians,Field,Kings,1 run,Shaun Marsh,Wankhede Stadium,Mumbai
944,Royal Challengers Bangalore,Chennai Super Kings,126.0,112.0,Royal Challengers Bangalore,Bat,RCB,14 runs,Anil Kumble,MA Chidambaram Stadium,Chepauk
945,Delhi Daredevils,,,,,No Toss,Match,Match abandoned without a ball bowled,,,
946,Deccan Chargers,Kings XI Punjab,175.0,178.0,Kings XI Punjab,Field,Kings,6 wickets,Shaun Marsh,Punjab Cricket Association Stadium,Mohali
947,Rajasthan Royals,Chennai Super Kings,211.0,201.0,Rajasthan Royals,Bat,Royals,10 runs,Albie Morkel,MA Chidambaram Stadium,Chepauk
948,Mumbai Indians,Delhi Daredevils,176.0,179.0,Delhi Daredevils,Field,Daredevils,5 wickets,Dinesh Karthik,Feroz Shah Kotla,Delhi
949,Deccan Chargers,Royal Challengers Bangalore,165.0,171.0,Deccan Chargers,Bat,RCB,5 wickets,Vinay Kumar,Rajiv Gandhi International Stadium,Uppal
950,Kings XI Punjab,Kolkata Knight Riders,174.0,175.0,Kings XI Punjab,Bat,KKR,3 wickets,Umar Gul,Eden Gardens,Kolkata
951,Mumbai Indians,Rajasthan Royals,145.0,146.0,Rajasthan Royals,Field,Royals,5 wickets,Sohail Tanvir,Sawai Mansingh Stadium,Jaipur
952,Deccan Chargers,Chennai Super Kings,147.0,148.0,Deccan Chargers,Bat,Super,7 wickets,Suresh Raina,Rajiv Gandhi International Stadium,Uppal
953,Royal Challengers Bangalore,Mumbai Indians,,126.0,Mumbai Indians,Field,Mumbai,9 wickets,Dilhara Fernando,M Chinnaswamy Stadium,Bangalore
954,Kings XI Punjab,Rajasthan Royals,221.0,180.0,Rajasthan Royals,Field,Kings,41 runs,Shaun Marsh,Punjab Cricket Association Stadium,Mohali
955,Rajasthan Royals,Delhi Daredevils,192.0,87.0,Delhi Daredevils,Field,Royals,105 runs,Shane Watson,Wankhede Stadium,Mumbai
956,Kings XI Punjab,Chennai Super Kings,112.0,116.0,Kings XI Punjab,Bat,Super,9 wickets,Makhaya Ntini,Wankhede Stadium,Mumbai
957,Chennai Super Kings,Rajasthan Royals,163.0,164.0,Rajasthan Royals,Field,Royals,3 wickets,Yusuf Pathan,Dr DY Patil Sports Academy,Mumbai
