,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
480,Chennai Super Kings,Rajasthan Royals,157.0,145.0,Chennai Super Kings,Bat,Super,12 runs,Ravindra Jadeja,MA Chidambaram Stadium,Chepauk
481,Sunrisers Hyderabad,Kings XI Punjab,185.0,180.0,Sunrisers Hyderabad,Bat,Sunrisers,5 runs,David Warner,Rajiv Gandhi International Stadium,Uppal
482,Chennai Super Kings,Delhi Daredevils,119.0,120.0,Chennai Super Kings,Bat,Daredevils,6 wickets,Zaheer Khan,Shaheed Veer Narayan Singh International Stadium,Raipur
483,Kings XI Punjab,Royal Challengers Bangalore,,84.0,Royal Challengers Bangalore,Field,Kings,22 runs,Axar Patel,Punjab Cricket Association Stadium,Mohali
484,Mumbai Indians,Kolkata Knight Riders,171.0,166.0,Kolkata Knight Riders,Field,Mumbai,5 runs,Hardik Pandya,Wankhede Stadium,Mumbai
485,Sunrisers Hyderabad,Royal Challengers Bangalore,,83.0,Sunrisers Hyderabad,Bat,RCB,6 wickets,Virat Kohli,Rajiv Gandhi International Stadium,Uppal
486,Kings XI Punjab,Chennai Super Kings,130.0,134.0,Kings XI Punjab,Bat,Super,7 wickets,Pawan Negi,Punjab Cricket Association Stadium,Mohali
487,Rajasthan Royals,Kolkata Knight Riders,199.0,190.0,Rajasthan Royals,Bat,Royals,9 runs,Shane Watson,Brabourne Stadium,Mumbai
488,Delhi Daredevils,Royal Challengers Bangalore,187.0,2.0,Royal Challengers Bangalore,Field,No,No result,"16.00 start, First Session 16.00-17.30, Interval 17.30-17.50, Second Session 17.50-19.20",M Chinnaswamy Stadium,Bangalore
489,Sunrisers Hyderabad,Mumbai Indians,113.0,114.0,Sunrisers Hyderabad,Bat,Mumbai,9 wickets,Mitchell McClenaghan,Rajiv Gandhi International Stadium,Uppal
490,Mumbai Indians,Chennai Super Kings,187.0,162.0,Mumbai Indians,Bat,Mumbai,25 runs,Kieron Pollard,Wankhede Stadium,Mumbai
491,Royal Challengers Bangalore,Rajasthan Royals,180.0,109.0,Royal Challengers Bangalore,Bat,RCB,71 runs,AB de Villiers,Maharashtra Cricket Association Stadium,Pune
492,Royal Challengers Bangalore,Chennai Super Kings,139.0,140.0,Chennai Super Kings,Field,Super,3 wickets,Ashish Nehra,JSCA International Stadium Complex,Ranchi
493,Mumbai Indians,Chennai Super Kings,202.0,161.0,Chennai Super Kings,Field,Mumbai,41 runs,Rohit Sharma,Eden Gardens,Kolkata
494,Kolkata Knight Riders,Mumbai Indians,163.0,122.0,Kolkata Knight Riders,Bat,KKR,41 runs,Jacques Kallis,Sheikh Zayed Stadium,Abu Dhabi
495,Delhi Daredevils,Royal Challengers Bangalore,145.0,146.0,Royal Challengers Bangalore,Field,RCB,8 wickets,Yuzvendra Chahal,Sharjah Cricket Stadium,
496,Chennai Super Kings,Kings XI Punjab,205.0,206.0,Chennai Super Kings,Bat,Kings,6 wickets,Glenn Maxwell,Sheikh Zayed Stadium,Abu Dhabi
